brand,device,chipset,os,release_date
Google,Pixel 10a,Google Tensor G4 (4 nm),"Android 16, up to 7 major Android upgrades","Available.  2026, March 05"
Google,Pixel 10 Pro Fold,Google Tensor G5 (3 nm),"Android 16, up to 7 major Android upgrades","Available.  2025, October 09"
Google,Pixel 10 Pro XL,Google Tensor G5 (3 nm),"Android 16, up to 7 major Android upgrades","Available.  2025, August 28"
Google,Pixel 10 Pro,Google Tensor G5 (3 nm),"Android 16, up to 7 major Android upgrades","Available.  2025, August 28"
Google,Pixel 10,Google Tensor G5 (3 nm),"Android 16, up to 7 major Android upgrades","Available.  2025, August 28"
Google,Pixel 9a,Google Tensor G4 (4 nm),"Android 15, upgradable to Android 16, up to 7 major Android upgrades","Available.  2025, April 10"
Google,Pixel 9 Pro XL,Google Tensor G4 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2024, August 22"
Google,Pixel 9 Pro,Google Tensor G4 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2024, September 09"
Google,Pixel 9,Google Tensor G4 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2024, August 22"
Google,Pixel 9 Pro Fold,Google Tensor G4 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2024, September 04"
Google,Pixel 8a,Google Tensor G3 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2024, May 14"
Google,Pixel 8 Pro,Google Tensor G3 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2023, October 12"
Google,Pixel 8,Google Tensor G3 (4 nm),"Android 14, upgradable to Android 16, up to 7 major Android upgrades","Available.  2023, October 12"
Google,Pixel Fold,Google Tensor G2 (5 nm),"Android 13, upgradable to Android 15, up to 5 major Android upgrades","Available.  2023, June 27"
Google,Pixel 7a,Google Tensor G2 (5 nm),"Android 13, upgradable to Android 16, up to 5 major Android upgrades","Available.  2023, May 10"
Google,Pixel 7 Pro,Google Tensor G2 (5 nm),"Android 13, upgradable to Android 16, up to 5 major Android upgrades","Available.  2022, October 13"
Google,Pixel 7,Google Tensor G2 (5 nm),"Android 13, upgradable to Android 16, up to 5 major Android upgrades","Available.  2022, October 13"
Google,Pixel 6a,Google Tensor (5 nm),"Android 12, upgradable to Android 16, up to 5 major Android upgrades","Available.  2022, July 21"
Google,Pixel 6 Pro,Google Tensor (5 nm),"Android 12, upgradable to Android 16, up to 5 major Android upgrades","Available.  2021, October 28"
Google,Pixel 6,Google Tensor (5 nm),"Android 12, upgradable to Android 16, up to 5 major Android upgrades","Available.  2021, October 28"
Google,Pixel 5a 5G,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),"Android 11, upgradable to Android 14","Available.  2021, August 26"
Google,Pixel 5,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),"Android 11, upgradable to Android 14","Available.  2020, October 15"
Google,Pixel 4a 5G,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),"Android 11, upgradable to Android 14","Available.  2020, November 05"
Google,Pixel 4a,Qualcomm SDM730 Snapdragon 730G (8 nm),"Android 10, upgradable to Android 13","Available.  2020, August 20"
Google,Pixel 4 XL,Qualcomm SM8150 Snapdragon 855 (7 nm),"Android 10, upgradable to Android 13","Available.  2019, October 22"
Google,Pixel 4,Qualcomm SM8150 Snapdragon 855 (7 nm),"Android 10, upgradable to Android 13","Available.  2019, October 22"
