device_name,device_type,chipset,launch_os_version,currently_supported_os,current_user_interface,official_release_date
Vivo Y31s 5G,Phone,Qualcomm Snapdragon 480,Android 11,Android 13,OriginOS 3,2021-01-11 0:00:00
Vivo Y51A,Phone,Qualcomm Snapdragon 662,Android 11,Android 12,Funtouch OS 12,2021-01-11 0:00:00
Vivo Y20 (2021),Phone,MediaTek Helio P35,Android 10,Android 11,Funtouch OS 11,2021-01-13 0:00:00
Vivo Y20G,Phone,MediaTek Helio G80,Android 11,Android 12,Funtouch OS 12,2021-01-19 0:00:00
Vivo Y31,Phone,Qualcomm Snapdragon 662,Android 11,Android 12,Funtouch OS 12,2021-01-20 0:00:00
Vivo X60 Pro+,Phone,Qualcomm Snapdragon 888,Android 11,Android 14,OriginOS 4,2021-01-21 0:00:00
Vivo X60,Phone,Exynos 1080 / Snapdragon 870,Android 11,Android 14,Funtouch OS 14 / OriginOS 4,2021-01-29 0:00:00
Vivo X60 Pro,Phone,Exynos 1080 / Snapdragon 870,Android 11,Android 14,Funtouch OS 14 / OriginOS 4,2021-01-29 0:00:00
Vivo S9,Phone,MediaTek Dimensity 1100,Android 11,Android 13,OriginOS 3,2021-02-03 0:00:00
Vivo S9e,Phone,MediaTek Dimensity 820,Android 11,Android 13,OriginOS 3,2021-02-03 0:00:00
Vivo iQOO Neo5,Phone,Qualcomm Snapdragon 870,Android 11,Android 14,OriginOS 4,2021-02-16 0:00:00
Vivo S7t,Phone,MediaTek Dimensity 820,Android 11,Android 12,OriginOS Ocean,2021-03-04 0:00:00
Vivo Y72 5G,Phone,MediaTek Dimensity 700,Android 11,Android 13,Funtouch OS 13,2021-03-22 0:00:00
Vivo iQOO Z3,Phone,Qualcomm Snapdragon 768G,Android 11,Android 14,OriginOS 4,2021-03-25 0:00:00
Vivo X60 Curved Screen Edition,Phone,Qualcomm Snapdragon 870,Android 11,Android 14,OriginOS 4,2021-04-06 0:00:00
Vivo iQOO 7,Phone,Qualcomm Snapdragon 888,Android 11,Android 14,OriginOS 4,2021-04-26 0:00:00
Vivo V21e,Phone,Qualcomm Snapdragon 720G,Android 11,Android 13,Funtouch OS 13,2021-04-27 0:00:00
Vivo V21 5G,Phone,MediaTek Dimensity 800U,Android 11,Android 14,Funtouch OS 14,2021-04-27 0:00:00
Vivo Y53s,Phone,MediaTek Helio G80,Android 11,Android 13,Funtouch OS 13,2021-05-17 0:00:00
Vivo Y52 5G,Phone,MediaTek Dimensity 700,Android 11,Android 13,Funtouch OS 13,2021-05-18 0:00:00
Vivo iQOO Z3x,Phone,Qualcomm Snapdragon 480,Android 11,Android 13,OriginOS 3,2021-05-20 0:00:00
Vivo iQOO Neo5 Vitality Edition,Phone,Qualcomm Snapdragon 870,Android 11,Android 14,OriginOS 4,2021-05-24 0:00:00
Vivo X60t,Phone,MediaTek Dimensity 1100,Android 11,Android 14,OriginOS 4,2021-06-08 0:00:00
Vivo Y73,Phone,MediaTek Helio G95,Android 11,Android 13,Funtouch OS 13,2021-06-10 0:00:00
Vivo S10,Phone,MediaTek Dimensity 1100,Android 11,Android 14,OriginOS 4,2021-07-15 0:00:00
Vivo S10 Pro,Phone,MediaTek Dimensity 1100,Android 11,Android 14,OriginOS 4,2021-07-15 0:00:00
Vivo Y12A,Phone,Qualcomm Snapdragon 439,Android 11 Go Edition,Android 11 Go Edition,Funtouch OS 11,2021-07-21 0:00:00
Vivo iQOO U3x Standard Edition,Phone,Qualcomm Snapdragon 480,Android 11,Android 13,OriginOS 3,2021-07-22 0:00:00
Vivo iQOO 8 Pro,Phone,Qualcomm Snapdragon 888+,Android 11,Android 14,OriginOS 4,2021-08-17 0:00:00
Vivo iQOO 8,Phone,Qualcomm Snapdragon 888+,Android 11,Android 14,OriginOS 4,2021-08-17 0:00:00
Vivo Y21,Phone,MediaTek Helio P35,Android 11,Android 13,Funtouch OS 13,2021-08-20 0:00:00
Vivo Y33s,Phone,MediaTek Helio G80,Android 11,Android 13,Funtouch OS 13,2021-08-23 0:00:00
Vivo X70 Pro+,Phone,Qualcomm Snapdragon 888+,Android 11,Android 14,OriginOS 4,2021-09-09 0:00:00
Vivo X70 Pro,Phone,Exynos 1080 / MediaTek Dimensity 1200,Android 11,Android 14,OriginOS 4,2021-09-09 0:00:00
Vivo X70,Phone,MediaTek Dimensity 1200,Android 11,Android 14,OriginOS 4,2021-09-09 0:00:00
Vivo T1 5G,Phone,Qualcomm Snapdragon 778G,Android 11,Android 13,OriginOS 3,2021-09-27 0:00:00
Vivo T1x,Phone,MediaTek Dimensity 900,Android 11,Android 13,OriginOS 3,2021-10-19 0:00:00
Vivo iQOO Z5x,Phone,MediaTek Dimensity 900,Android 11,Android 14,OriginOS 4,2021-10-20 0:00:00
Vivo Y15s,Phone,MediaTek Helio P35,Android 11 Go Edition,Android 12 Go Edition,Funtouch OS 12,2021-10-25 0:00:00
Vivo V23e,Phone,MediaTek Helio G96,Android 11,Android 14,Funtouch OS 14,2021-11-09 0:00:00
Vivo Y50t,Phone,Qualcomm Snapdragon 720G,Android 10,Android 12,OriginOS Ocean,2021-11-16 0:00:00
Vivo Y74s,Phone,MediaTek Dimensity 810,Android 11,Android 13,OriginOS 3,2021-11-17 0:00:00
Vivo iQOO Neo5 SE,Phone,Qualcomm Snapdragon 870,Android 11,Android 14,OriginOS 4,2021-11-24 0:00:00
Vivo Y55s 5G,Phone,MediaTek Dimensity 700,Android 11,Android 13,OriginOS 3,2021-12-04 0:00:00
Vivo S12,Phone,MediaTek Dimensity 1100,Android 11,Android 14,OriginOS 4,2021-12-22 0:00:00
Vivo S12 Pro,Phone,MediaTek Dimensity 1200,Android 11,Android 14,OriginOS 4,2021-12-22 0:00:00
Vivo iQOO U5,Phone,Qualcomm Snapdragon 695,Android 11,Android 14,OriginOS 4,2021-12-24 0:00:00
Vivo Y21T,Phone,Qualcomm Snapdragon 680,Android 11,Android 13,Funtouch OS 13,2022-01-03 0:00:00
Vivo V23 5G,Phone,MediaTek Dimensity 920,Android 12,Android 14,Funtouch OS 14,2022-01-05 0:00:00
Vivo V23 Pro 5G,Phone,MediaTek Dimensity 1200,Android 12,Android 14,Funtouch OS 14,2022-01-05 0:00:00
Vivo iQOO 9 Pro,Phone,Qualcomm Snapdragon 8 Gen 1,Android 12,Android 15,OriginOS 5,2022-01-05 0:00:00
