vendor,bulletin_id,published_date,year,month,bulletin_url
google,google-2020-01-01,2020-01-01,2020,1,https://source.android.com/docs/security/bulletin/pixel/2020-01-01
google,google-2020-02-01,2020-02-01,2020,2,https://source.android.com/docs/security/bulletin/pixel/2020-02-01
google,google-2020-03-01,2020-03-01,2020,3,https://source.android.com/docs/security/bulletin/pixel/2020-03-01
google,google-2020-04-01,2020-04-01,2020,4,https://source.android.com/docs/security/bulletin/pixel/2020-04-01
google,google-2020-05-01,2020-05-01,2020,5,https://source.android.com/docs/security/bulletin/pixel/2020-05-01
google,google-2020-06-01,2020-06-01,2020,6,https://source.android.com/docs/security/bulletin/pixel/2020-06-01
google,google-2020-07-01,2020-07-01,2020,7,https://source.android.com/docs/security/bulletin/pixel/2020-07-01
google,google-2020-08-01,2020-08-01,2020,8,https://source.android.com/docs/security/bulletin/pixel/2020-08-01
google,google-2020-09-01,2020-09-01,2020,9,https://source.android.com/docs/security/bulletin/pixel/2020-09-01
google,google-2020-11-01,2020-11-01,2020,11,https://source.android.com/docs/security/bulletin/pixel/2020-11-01
google,google-2020-12-01,2020-12-01,2020,12,https://source.android.com/docs/security/bulletin/pixel/2020-12-01
google,google-2021-01-01,2021-01-01,2021,1,https://source.android.com/docs/security/bulletin/pixel/2021-01-01
google,google-2021-02-01,2021-02-01,2021,2,https://source.android.com/docs/security/bulletin/pixel/2021-02-01
google,google-2021-03-01,2021-03-01,2021,3,https://source.android.com/docs/security/bulletin/pixel/2021-03-01
google,google-2021-04-01,2021-04-01,2021,4,https://source.android.com/docs/security/bulletin/pixel/2021-04-01
google,google-2021-05-01,2021-05-01,2021,5,https://source.android.com/docs/security/bulletin/pixel/2021-05-01
google,google-2021-06-01,2021-06-01,2021,6,https://source.android.com/docs/security/bulletin/pixel/2021-06-01
google,google-2021-07-01,2021-07-01,2021,7,https://source.android.com/docs/security/bulletin/pixel/2021-07-01
google,google-2021-08-01,2021-08-01,2021,8,https://source.android.com/docs/security/bulletin/pixel/2021-08-01
google,google-2021-09-01,2021-09-01,2021,9,https://source.android.com/docs/security/bulletin/pixel/2021-09-01
google,google-2021-10-01,2021-10-01,2021,10,https://source.android.com/docs/security/bulletin/pixel/2021-10-01
google,google-2021-11-01,2021-11-01,2021,11,https://source.android.com/docs/security/bulletin/pixel/2021-11-01
google,google-2021-12-01,2021-12-01,2021,12,https://source.android.com/docs/security/bulletin/pixel/2021-12-01
google,google-2022-01-01,2022-01-01,2022,1,https://source.android.com/docs/security/bulletin/pixel/2022-01-01
google,google-2022-02-01,2022-02-01,2022,2,https://source.android.com/docs/security/bulletin/pixel/2022-02-01
google,google-2022-03-01,2022-03-01,2022,3,https://source.android.com/docs/security/bulletin/pixel/2022-03-01
google,google-2022-04-01,2022-04-01,2022,4,https://source.android.com/docs/security/bulletin/pixel/2022-04-01
google,google-2022-05-01,2022-05-01,2022,5,https://source.android.com/docs/security/bulletin/pixel/2022-05-01
google,google-2022-06-01,2022-06-01,2022,6,https://source.android.com/docs/security/bulletin/pixel/2022-06-01
google,google-2022-07-01,2022-07-01,2022,7,https://source.android.com/docs/security/bulletin/pixel/2022-07-01
google,google-2022-08-01,2022-08-01,2022,8,https://source.android.com/docs/security/bulletin/pixel/2022-08-01
google,google-2022-09-01,2022-09-01,2022,9,https://source.android.com/docs/security/bulletin/pixel/2022-09-01
google,google-2022-10-01,2022-10-01,2022,10,https://source.android.com/docs/security/bulletin/pixel/2022-10-01
google,google-2022-11-01,2022-11-01,2022,11,https://source.android.com/docs/security/bulletin/pixel/2022-11-01
google,google-2022-12-01,2022-12-01,2022,12,https://source.android.com/docs/security/bulletin/pixel/2022-12-01
google,google-2023-01-01,2023-01-01,2023,1,https://source.android.com/docs/security/bulletin/pixel/2023-01-01
google,google-2023-02-01,2023-02-01,2023,2,https://source.android.com/docs/security/bulletin/pixel/2023-02-01
google,google-2023-03-01,2023-03-01,2023,3,https://source.android.com/docs/security/bulletin/pixel/2023-03-01
google,google-2023-04-01,2023-04-01,2023,4,https://source.android.com/docs/security/bulletin/pixel/2023-04-01
google,google-2023-05-01,2023-05-01,2023,5,https://source.android.com/docs/security/bulletin/pixel/2023-05-01
google,google-2023-06-01,2023-06-01,2023,6,https://source.android.com/docs/security/bulletin/pixel/2023-06-01
google,google-2023-07-01,2023-07-01,2023,7,https://source.android.com/docs/security/bulletin/pixel/2023-07-01
google,google-2023-08-01,2023-08-01,2023,8,https://source.android.com/docs/security/bulletin/pixel/2023-08-01
google,google-2023-09-01,2023-09-01,2023,9,https://source.android.com/docs/security/bulletin/pixel/2023-09-01
google,google-2023-10-01,2023-10-01,2023,10,https://source.android.com/docs/security/bulletin/pixel/2023-10-01
google,google-2023-11-01,2023-11-01,2023,11,https://source.android.com/docs/security/bulletin/pixel/2023-11-01
google,google-2023-12-01,2023-12-01,2023,12,https://source.android.com/docs/security/bulletin/pixel/2023-12-01
google,google-2024-01-01,2024-01-01,2024,1,https://source.android.com/docs/security/bulletin/pixel/2024-01-01
google,google-2024-02-01,2024-02-01,2024,2,https://source.android.com/docs/security/bulletin/pixel/2024-02-01
google,google-2024-03-01,2024-03-01,2024,3,https://source.android.com/docs/security/bulletin/pixel/2024-03-01
google,google-2024-04-01,2024-04-01,2024,4,https://source.android.com/docs/security/bulletin/pixel/2024-04-01
google,google-2024-05-01,2024-05-01,2024,5,https://source.android.com/docs/security/bulletin/pixel/2024-05-01
google,google-2024-06-01,2024-06-01,2024,6,https://source.android.com/docs/security/bulletin/pixel/2024-06-01
google,google-2024-07-01,2024-07-01,2024,7,https://source.android.com/docs/security/bulletin/pixel/2024-07-01
google,google-2024-08-01,2024-08-01,2024,8,https://source.android.com/docs/security/bulletin/pixel/2024-08-01
google,google-2024-09-01,2024-09-01,2024,9,https://source.android.com/docs/security/bulletin/pixel/2024-09-01
google,google-2024-10-01,2024-10-01,2024,10,https://source.android.com/docs/security/bulletin/pixel/2024-10-01
google,google-2024-11-01,2024-11-01,2024,11,https://source.android.com/docs/security/bulletin/pixel/2024-11-01
google,google-2024-12-01,2024-12-01,2024,12,https://source.android.com/docs/security/bulletin/pixel/2024-12-01
google,google-2025-01-01,2025-01-01,2025,1,https://source.android.com/docs/security/bulletin/pixel/2025-01-01
google,google-2025-02-01,2025-02-01,2025,2,https://source.android.com/docs/security/bulletin/pixel/2025-02-01
google,google-2025-03-01,2025-03-01,2025,3,https://source.android.com/docs/security/bulletin/pixel/2025-03-01
google,google-2025-04-01,2025-04-01,2025,4,https://source.android.com/docs/security/bulletin/pixel/2025-04-01
google,google-2025-05-01,2025-05-01,2025,5,https://source.android.com/docs/security/bulletin/pixel/2025-05-01
google,google-2025-06-01,2025-06-01,2025,6,https://source.android.com/docs/security/bulletin/pixel/2025-06-01
google,google-2025-08-01,2025-08-01,2025,8,https://source.android.com/docs/security/bulletin/pixel/2025-08-01
google,google-2025-09-01,2025-09-01,2025,9,https://source.android.com/docs/security/bulletin/pixel/2025-09-01
google,google-2025-12-01,2025-12-01,2025,12,https://source.android.com/docs/security/bulletin/pixel/2025-12-01
motorola,motorola-advisories,2026-06-06,2026,6,https://en-us.support.motorola.com/app/product-security-advisories
oppo,oppo-2026-01,2026-01-01,2026,1,https://security.oppo.com/en/mend
oppo,oppo-2026-03,2026-03-01,2026,3,https://security.oppo.com/en/mend
oppo,oppo-2026-04,2026-04-01,2026,4,https://security.oppo.com/en/mend
oppo,oppo-2026-05,2026-05-01,2026,5,https://security.oppo.com/en/mend
oppo,oppo-2025-01,2025-01-01,2025,1,https://security.oppo.com/en/mend
oppo,oppo-2025-02,2025-02-01,2025,2,https://security.oppo.com/en/mend
oppo,oppo-2025-03,2025-03-01,2025,3,https://security.oppo.com/en/mend
oppo,oppo-2025-04,2025-04-01,2025,4,https://security.oppo.com/en/mend
oppo,oppo-2025-05,2025-05-01,2025,5,https://security.oppo.com/en/mend
oppo,oppo-2025-06,2025-06-01,2025,6,https://security.oppo.com/en/mend
oppo,oppo-2025-08,2025-08-01,2025,8,https://security.oppo.com/en/mend
oppo,oppo-2025-09,2025-09-01,2025,9,https://security.oppo.com/en/mend
oppo,oppo-2025-11,2025-11-01,2025,11,https://security.oppo.com/en/mend
oppo,oppo-2025-12,2025-12-01,2025,12,https://security.oppo.com/en/mend
oppo,oppo-2024-01,2024-01-01,2024,1,https://security.oppo.com/en/mend
oppo,oppo-2024-02,2024-02-01,2024,2,https://security.oppo.com/en/mend
oppo,oppo-2024-03,2024-03-01,2024,3,https://security.oppo.com/en/mend
oppo,oppo-2024-04,2024-04-01,2024,4,https://security.oppo.com/en/mend
oppo,oppo-2024-05,2024-05-01,2024,5,https://security.oppo.com/en/mend
oppo,oppo-2024-06,2024-06-01,2024,6,https://security.oppo.com/en/mend
oppo,oppo-2024-07,2024-07-01,2024,7,https://security.oppo.com/en/mend
oppo,oppo-2024-10,2024-10-01,2024,10,https://security.oppo.com/en/mend
oppo,oppo-2024-12,2024-12-01,2024,12,https://security.oppo.com/en/mend
oppo,oppo-2023-01,2023-01-01,2023,1,https://security.oppo.com/en/mend
oppo,oppo-2023-02,2023-02-01,2023,2,https://security.oppo.com/en/mend
oppo,oppo-2023-03,2023-03-01,2023,3,https://security.oppo.com/en/mend
oppo,oppo-2023-04,2023-04-01,2023,4,https://security.oppo.com/en/mend
oppo,oppo-2023-05,2023-05-01,2023,5,https://security.oppo.com/en/mend
oppo,oppo-2023-06,2023-06-01,2023,6,https://security.oppo.com/en/mend
oppo,oppo-2023-07,2023-07-01,2023,7,https://security.oppo.com/en/mend
oppo,oppo-2023-08,2023-08-01,2023,8,https://security.oppo.com/en/mend
oppo,oppo-2023-10,2023-10-01,2023,10,https://security.oppo.com/en/mend
oppo,oppo-2023-11,2023-11-01,2023,11,https://security.oppo.com/en/mend
oppo,oppo-2023-12,2023-12-01,2023,12,https://security.oppo.com/en/mend
oppo,oppo-2022-02,2022-02-01,2022,2,https://security.oppo.com/en/mend
oppo,oppo-2022-03,2022-03-01,2022,3,https://security.oppo.com/en/mend
oppo,oppo-2022-06,2022-06-01,2022,6,https://security.oppo.com/en/mend
oppo,oppo-2022-07,2022-07-01,2022,7,https://security.oppo.com/en/mend
oppo,oppo-2022-08,2022-08-01,2022,8,https://security.oppo.com/en/mend
oppo,oppo-2022-09,2022-09-01,2022,9,https://security.oppo.com/en/mend
oppo,oppo-2022-10,2022-10-01,2022,10,https://security.oppo.com/en/mend
oppo,oppo-2022-11,2022-11-01,2022,11,https://security.oppo.com/en/mend
oppo,oppo-2022-12,2022-12-01,2022,12,https://security.oppo.com/en/mend
samsung,samsung-SMR-JAN-2020,2020-01-01,2020,1,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=1
samsung,samsung-SMR-FEB-2020,2020-02-01,2020,2,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=2
samsung,samsung-SMR-MAR-2020,2020-03-01,2020,3,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=3
samsung,samsung-SMR-APR-2020,2020-04-01,2020,4,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=4
samsung,samsung-SMR-MAY-2020,2020-05-01,2020,5,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=5
samsung,samsung-SMR-JUN-2020,2020-06-01,2020,6,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=6
samsung,samsung-SMR-JUL-2020,2020-07-01,2020,7,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=7
samsung,samsung-SMR-AUG-2020,2020-08-01,2020,8,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=8
samsung,samsung-SMR-SEP-2020,2020-09-01,2020,9,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=9
samsung,samsung-SMR-OCT-2020,2020-10-01,2020,10,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2020&month=10
