CVE ID,Title,Description,Technology Area,Vulnerability Type,Access Vector,CVSS Rating,CVSS Score,CVSS String,Affected Chipsets,Affected Software Versions,Bulletin Date,Source URL
CVE-2025-71251,Improper Input Validation in Modem IMS,"In IMS, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,SC7731E/SC9832E/SC9863A/T310/T610/T618/T7200/T7225/T7250/T7255/T7280/T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-71252,Improper Input Validation in Modem IMS,"In Modem IMS, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,CWE-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,SC7731E/SC9832E/SC9863A/T310/T610/T618/T7200/T7225/T7250/T7255/T7280/T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-71253,Improper Input Validation in Modem IMS,"In Modem IMS, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,CWE-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,SC7731E/SC9832E/SC9863A/T310/T610/T618/T7200/T7225/T7250/T7255/T7280/T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-71254,Improper Input Validation in Modem IMS,"In Modem IMS, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,CWE-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,SC7731E/SC9832E/SC9863A/T310/T610/T618/T7200/T7225/T7250/T7255/T7280/T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-71255,Improper Input Validation in Modem IMS,"In Modem IMS, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,CWE-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,SC7731E/SC9832E/SC9863A/T310/T610/T618/T7200/T7225/T7250/T7255/T7280/T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-71256,Improper Input Validation in nr Modem,"In nr modem, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed.",Modem,CWE-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-05-06,https://www.unisoc.com/en/support/product-security-bulletin/2051837111148138498
CVE-2025-61611,"Improper Input Validation,in modem","In modem, there is a possible improper input validation. This could lead to remote denial of service with no additional execution privileges needed",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,UDX710,Yocto,2026-03-01,https://www.unisoc.com/en/support/product-security-bulletin/2030931971226652673
CVE-2025-61612,"Improper Input Validation,in nr modem","In nr modem, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-03-01,https://www.unisoc.com/en/support/product-security-bulletin/2030931971226652673
CVE-2025-61613,"Improper Input Validation,in nr modem","In nr modem, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-03-01,https://www.unisoc.com/en/support/product-security-bulletin/2030931971226652673
CVE-2025-61614,"Improper Input Validation,in nr modem","In nr modem, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,T7300/T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-03-01,https://www.unisoc.com/en/support/product-security-bulletin/2030931971226652673
CVE-2025-61615,"Improper Input Validation,in nr modem","In nr modem, there is a possible system crash due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed",Modem,cwe-20 Improper Input Validation,Network,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,T8100/T9100/T8200/T8300,Android13/Android14/Android15/Android16,2026-03-01,https://www.unisoc.com/en/support/product-security-bulletin/2030931971226652673
